 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
92 126 379.1924 454.9415 344.06996441 62.626251974 -8.8155 0.2045 3358.843 632.4023 3.983 0.99 351.58099999999996 344.0699644 62.626252 7.835330963134766 7.446982383728027 6.912148475646973 0.3883485794067383 0.923182487487793 0.5348339080810547
93 127 369.4955 455.1845 344.09049991 62.743200877 -9.0875 0.16 4315.282999999999 635.722 1.9480000000000002 3.07 351.6714 344.0904999 62.7432009 7.835330963134766 7.446982383728027 6.912148475646973 0.3883485794067383 0.923182487487793 0.5348339080810547
94 128 364.6186 452.8661 344.02383151 62.904467181 -8.8004 0.2073 3312.428 632.4023 1.93 2.21 357.0396 344.0238315 62.9044672 8.368792533874512 8.229385375976562 7.659972190856934 0.13940715789794922 0.7088203430175781 0.5694131851196289
95 129 113.2211 444.8315 349.65697444 69.62181080100001 -7.8127 0.5203 1333.783 639.0245 4.02 3.44 354.7387 349.65697439999997 69.6218108 8.47898006439209 7.550687313079834 6.640389919281006 0.9282927513122559 1.838590145111084 0.9102973937988281
96 130 452.0277 440.6995 342.77789216 60.475211018 -8.4323 0.2925 2359.953 635.722 3.9619999999999997 2.53 332.1074 342.7778922 60.475211 10.27259349822998 9.513908386230469 8.699447631835938 0.7586851119995117 1.573145866394043 0.8144607543945312
97 131 345.5812 454.7149 344.45959097 63.406689321 -8.2306 0.3373 1959.94 608.6575 1.672 1.54 357.8534 344.459591 63.40668929999999 9.133954048156738 8.906350135803223 8.557857513427734 0.22760391235351562 0.5760965347290039 0.3484926223754883
98 132 110.8963 441.6825 348.89491406 68.935070955 -7.2024 0.9034 760.2352 632.4023 2.162 1.03 356.5778 348.89491410000005 68.935071 11.171521186828613 10.795747756958008 10.271768569946289 0.37577342987060547 0.8997526168823242 0.5239791870117188
99 133 97.0839 454.4005 350.16796254 70.12921618899999 -7.3322 0.8058 856.793 635.722 3.6289999999999996 2.66 355.5536 350.1679625 70.1292162 11.065531730651855 10.813030242919922 10.418663024902344 0.2525014877319336 0.6468687057495117 0.3943672180175781
100 134 334.574 452.6217 344.56964431 63.723408323 -8.9502 0.1825 3802.6859999999997 639.0245 1.641 4.74 357.6117 344.5696443 63.723408299999996 7.480583667755127 7.303762912750244 7.030055046081543 0.1768207550048828 0.450528621673584 0.27370786666870117
101 135 58.4967 459.3184 351.78589782 71.08164922600001 -8.2875 0.3272 2065.291 622.3369 1.365 2.57 352.9939 351.7858978 71.08164920000002 8.348166465759277 7.990395545959473 7.510588645935059 0.3577709197998047 0.8375778198242188 0.47980690002441406
102 136 1.2772 452.3947 353.28264894 72.623485005 -7.4883 0.5609 989.2426 510.8901 0.935 4.48 360.8202 353.28264889999997 72.623485 10.375450134277344 9.515219688415527 8.637266159057617 0.8602304458618164 1.7381839752197266 0.8779535293579102
103 137 489.9118 454.4282 342.11035465 59.404629692 -8.3103 0.3134 2109.19 608.6575 3.387 1.51 356.4382 342.1103546 59.4046297 10.915837287902832 8.517607688903809 7.139523506164551 2.3982295989990234 3.7763137817382812 1.3780841827392578
104 138 418.4347 443.6441 343.08033999 61.231048108 -8.6223 0.2469 2811.2709999999997 639.0245 6.212000000000001 3.01 335.8769 343.08034 61.2310481 10.825121879577637 7.998864650726318 6.602282524108887 2.8262572288513184 4.22283935546875 1.3965821266174316
105 139 179.4889 447.5163 348.0640781 68.290968048 -8.5128 0.273 2541.697 639.0245 4.893 3.39 359.0986 348.0640781 68.290968 10.22863483428955 9.976652145385742 9.600522994995117 0.2519826889038086 0.6281118392944336 0.376129150390625
